#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|web_id_locator(deprecated)
1594729|2005-04-28T18:54:26.690000|44.633|10.461|21|BULLETIN-SISPICK||||ML|2.9|Bollettino Sismico Italiano INGV|REGGIO EMILIA|0
1594789|2005-04-29T01:31:37.030000|41.041|14.978|9.5|BULLETIN-SISPICK||||ML|2.0|Bollettino Sismico Italiano INGV|AVELLINO|0
1594819|2005-04-29T02:30:48.570000|40.296|15.875|6.1|BULLETIN-SISPICK||||Md|2.4|Bollettino Sismico Italiano INGV|POTENZA|0
1594829|2005-04-29T07:19:50.360000|43.048|12.896|16.6|BULLETIN-SISPICK||||ML|2.2|Bollettino Sismico Italiano INGV|MACERATA|0
1594839|2005-04-29T10:13:31.800000|37.902|15.849|40.9|BULLETIN-SISPICK||||ML|2.4|Bollettino Sismico Italiano INGV|REGGIO CALABRIA|0
1594879|2005-04-29T16:49:54.760000|42.465|12.469|4.4|BULLETIN-SISPICK||||Md|2.2|Bollettino Sismico Italiano INGV|TERNI|0
1594889|2005-04-29T20:12:44.060000|39.987|16.029|12.5|BULLETIN-SISPICK||||Md|2.5|Bollettino Sismico Italiano INGV|POTENZA|0
1594919|2005-04-29T23:24:30.290000|42.731|12.74|8.8|BULLETIN-SISPICK||||Md|2.2|Bollettino Sismico Italiano INGV|PERUGIA|0
1594939|2005-04-30T02:45:33.530000|42.946|12.988|0.6|BULLETIN-SISPICK||||Md|2.1|Bollettino Sismico Italiano INGV|MACERATA|0
1594969|2005-04-30T03:59:40.050000|43.782|12.032|8.1|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|FORLI|0
1595009|2005-04-30T08:10:25.120000|44.694|9.317|8.7|BULLETIN-SISPICK||||ML|3.5|Bollettino Sismico Italiano INGV|PIACENZA|0
1595189|2005-05-01T14:51:36.520000|42.778|12.747|7.9|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|PERUGIA|0
1595199|2005-05-01T15:33:09.840000|41.772|13.552|17|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|L`AQUILA|0
1595339|2005-05-02T03:24:27.350000|41.118|15.147|12.6|BULLETIN-SISPICK||||ML|2.3|Bollettino Sismico Italiano INGV|AVELLINO|0
1595369|2005-05-02T05:48:55.160000|44.68|9.321|10|BULLETIN-SISPICK||||ML|2.7|Bollettino Sismico Italiano INGV|PIACENZA|0
